1038168,'2024-02-15',29,137,10,140,2023,False,'Final'
1038363,'2024-02-13',3,110,2,118,2023,False,'Final'
1038364,'2024-02-13',22,113,21,127,2023,False,'Final'
1038365,'2024-02-13',17,97,16,123,2023,False,'Final'
1038366,'2024-02-13',24,130,26,125,2023,False,'Final'
1038367,'2024-02-13',25,109,18,121,2023,False,'Final'
1038368,'2024-02-13',14,125,9,111,2023,False,'Final'
1038369,'2024-02-14',4,122,1,99,2023,False,'Final'
1038370,'2024-02-14',22,118,20,100,2023,False,'Final'
1038371,'2024-02-14',23,104,16,109,2023,False,'Final'
1038372,'2024-02-14',2,136,3,86,2023,False,'Final'
1038373,'2024-02-14',6,108,5,105,2023,False,'Final'
1038374,'2024-02-14',28,125,12,127,2023,False,'Final'
1038375,'2024-02-14',15,121,11,113,2023,False,'Final'
1038376,'2024-02-14',19,133,30,126,2023,False,'Final'
1038377,'2024-02-14',7,116,27,93,2023,False,'Final'
1038378,'2024-02-14',8,98,26,102,2023,False,'Final'
1038379,'2024-02-14',24,111,9,95,2023,False,'Final'
1038380,'2024-02-14',29,122,14,138,2023,False,'Final'
1038381,'2024-02-14',10,125,13,130,2023,False,'Final'
1038382,'2024-02-15',15,113,17,110,2023,False,'Final'
1038383,'2024-02-15',25,91,18,128,2023,False,'Final'
