team_id,team_name_abbreviation,city,conference,division,team_full_name,team_name
1,'ATL','Atlanta','East','Southeast','Atlanta Hawks','Hawks'
2,'BOS','Boston','East','Atlantic','Boston Celtics','Celtics'
3,'BKN','Brooklyn','East','Atlantic','Brooklyn Nets','Nets'
4,'CHA','Charlotte','East','Southeast','Charlotte Hornets','Hornets'
5,'CHI','Chicago','East','Central','Chicago Bulls','Bulls'
6,'CLE','Cleveland','East','Central','Cleveland Cavaliers','Cavaliers'
7,'DAL','Dallas','West','Southwest','Dallas Mavericks','Mavericks'
8,'DEN','Denver','West','Northwest','Denver Nuggets','Nuggets'
9,'DET','Detroit','East','Central','Detroit Pistons','Pistons'
10,'GSW','Golden State','West','Pacific','Golden State Warriors','Warriors'
11,'HOU','Houston','West','Southwest','Houston Rockets','Rockets'
12,'IND','Indiana','East','Central','Indiana Pacers','Pacers'
13,'LAC','LA','West','Pacific','LA Clippers','Clippers'
14,'LAL','Los Angeles','West','Pacific','Los Angeles Lakers','Lakers'
15,'MEM','Memphis','West','Southwest','Memphis Grizzlies','Grizzlies'
16,'MIA','Miami','East','Southeast','Miami Heat','Heat'
17,'MIL','Milwaukee','East','Central','Milwaukee Bucks','Bucks'
18,'MIN','Minnesota','West','Northwest','Minnesota Timberwolves','Timberwolves'
19,'NOP','New Orleans','West','Southwest','New Orleans Pelicans','Pelicans'
20,'NYK','New York','East','Atlantic','New York Knicks','Knicks'
21,'OKC','Oklahoma City','West','Northwest','Oklahoma City Thunder','Thunder'
22,'ORL','Orlando','East','Southeast','Orlando Magic','Magic'
23,'PHI','Philadelphia','East','Atlantic','Philadelphia 76ers','76ers'
24,'PHX','Phoenix','West','Pacific','Phoenix Suns','Suns'
25,'POR','Portland','West','Northwest','Portland Trail Blazers','Trail Blazers'
26,'SAC','Sacramento','West','Pacific','Sacramento Kings','Kings'
27,'SAS','San Antonio','West','Southwest','San Antonio Spurs','Spurs'
28,'TOR','Toronto','East','Atlantic','Toronto Raptors','Raptors'
29,'UTA','Utah','West','Northwest','Utah Jazz','Jazz'
30,'WAS','Washington','East','Southeast','Washington Wizards','Wizards'
37,'CHS',NULL,NULL,NULL,'Chicago Stags','Chicago Stags'
38,'BOM',NULL,NULL,NULL,'St. Louis Bombers','St. Louis Bombers'
39,'CLR',NULL,NULL,NULL,'Cleveland Rebels','Cleveland Rebels'
40,'DEF',NULL,NULL,NULL,'Detroit Falcons','Detroit Falcons'
41,'HUS',NULL,NULL,NULL,'Toronto Huskies','Toronto Huskies'
42,'WAS',NULL,NULL,NULL,'Washington Capitols','Washington Capitols'
43,'PRO',NULL,NULL,NULL,'Providence Steamrollers','Providence Steamrollers'
44,'PIT',NULL,NULL,NULL,'Pittsburgh Ironmen','Pittsburgh Ironmen'
45,'BAL',NULL,NULL,NULL,'Baltimore Bullets','Baltimore Bullets'
46,'JET',NULL,NULL,NULL,'Indianapolis Jets','Indianapolis Jets'
47,'AND',NULL,NULL,NULL,'Anderson Packers','Anderson Packers'
48,'WAT',NULL,NULL,NULL,'Waterloo Hawks','Waterloo Hawks'
49,'INO',NULL,NULL,NULL,'Indianapolis Olympians','Indianapolis Olympians'
50,'DN',NULL,NULL,NULL,'Denver Nuggets','Denver Nuggets'
51,'SHE',NULL,NULL,NULL,'Sheboygan Redskins','Sheboygan Redskins'
